Name,Session ID,Session begin date (UTC),Time (hh:mm:ss),Position,Jumps,Total Workload,High Intensity Effort/Min,Jump Load / min (J),Jumps (very low),Jumps (low),Jumps (medium),Jumps (high),Jumps (very high),Jumps / min,Acceleration Load (load | medium),Acceleration Load (load | high),Acceleration Load (load | low),Acceleration Load (load | very high),Acceleration Load (max.),Acceleration Load (time | high) (hh:mm:ss),Acceleration Load (time | low) (hh:mm:ss),Acceleration Load (time | medium) (hh:mm:ss),Acceleration Load (time | very high) (hh:mm:ss),Acceleration Load / min,Anaerobic Activity (time) (hh:mm:ss),Jump Load (J),Jump Load per mass (J/kg),Jump Load per mass / min (J/kg),Changes of Orientation,Changes of Orientation / min,Exertions,Exertions (high),Exertions (low),Exertions (medium),Exertions (very high),Exertions / min,Exertions / min (high),Exertions / min (low),Exertions / min (medium),Exertions / min (very high),Jumps / min (high),Jumps / min (low),Jumps / min (medium),Jumps / min (very high),Jumps / min (very low),Duration (hh:mm:ss)
Claire Jeter,123,02/06/2023,01:05:49,Middle Blocker,98,290.7,4.42,578.79,1,5,62,20,10,1.49,96.15,37.34,146.86,10.34,5.37,00:02:28,00:52:02,00:10:34,00:00:42,0.74,00:00:41,38103.65,821.84,12.48,0,0.0,27,0,0,0,27,0.41,0.0,0.0,0.0,0.41,0.3,0.08,0.94,0.15,0.02,
Meadow Cooper,123,02/06/2023,01:05:49,Libero,50,320.1,4.86,144.32,1,9,37,2,1,0.76,122.25,49.34,141.25,7.26,4.86,00:03:18,00:48:19,00:13:43,00:00:27,0.81,00:00:26,9500.8,354.27,5.38,0,0.0,31,0,0,0,31,0.47,0.0,0.0,0.0,0.47,0.03,0.14,0.56,0.02,0.02,
Maddie Mclaughlin,123,02/06/2023,01:05:49,Outside Hitter,81,339.63,5.16,387.13,5,8,13,45,10,1.23,140.48,43.08,149.05,7.01,5.44,00:02:58,00:47:19,00:15:02,00:00:27,0.86,00:00:27,25485.86,709.73,10.78,2,0.03,21,0,0,0,21,0.32,0.0,0.0,0.0,0.32,0.68,0.12,0.2,0.15,0.08,
Jaden Ravnsborg,124,02/07/2023,01:09:14,Libero,86,322.38,4.66,216.02,22,28,35,1,0,1.24,142.99,34.32,142.64,2.43,4.64,00:02:33,00:50:37,00:15:46,00:00:16,0.78,00:00:16,14959.28,491.2,7.09,2,0.03,13,0,0,0,13,0.19,0.0,0.0,0.0,0.19,0.01,0.4,0.51,0.0,0.32,
Marta Levinska,124,02/07/2023,01:09:14,Outside Hitter,78,301.42,4.35,322.1,8,3,40,24,3,1.13,94.76,42.73,155.53,8.34,5.63,00:02:51,00:55:17,00:10:26,00:00:37,0.73,00:00:37,22305.39,613.4,8.86,0,0.0,36,0,0,0,36,0.52,0.0,0.0,0.0,0.52,0.35,0.04,0.58,0.04,0.12,
Shannon Shields,124,02/07/2023,01:09:33,Setter,78,419.61,6.03,252.53,1,53,24,0,0,1.12,221.9,53.6,142.61,1.34,5.75,00:04:01,00:41:08,00:24:12,00:00:05,1.01,00:00:05,17564.13,483.01,6.94,2,0.03,5,0,0,0,5,0.07,0.0,0.0,0.0,0.07,0.0,0.76,0.35,0.0,0.01,
Olivia Johnson,124,02/07/2023,01:09:14,Middle Blocker,74,331.02,4.78,247.24,2,7,61,4,0,1.07,112.63,46.32,166.26,5.82,4.74,00:03:18,00:52:47,00:12:40,00:00:27,0.8,00:00:27,17121.03,553.92,8.0,2,0.03,20,0,0,0,20,0.29,0.0,0.0,0.0,0.29,0.06,0.1,0.88,0.0,0.03,
Geli Cyr,124,02/07/2023,01:09:14,Outside Hitter,80,333.7,4.82,345.29,2,9,29,18,22,1.16,121.81,43.2,158.25,10.36,5.67,00:02:52,00:52:10,00:13:23,00:00:46,0.8,00:00:45,23911.59,710.89,10.27,2,0.03,49,0,0,0,49,0.71,0.0,0.0,0.0,0.71,0.26,0.13,0.42,0.32,0.03,
Roberta Rabelo,124,02/07/2023,01:09:14,Outside Hitter,85,384.05,5.55,429.01,5,5,3,30,42,1.23,132.11,75.93,155.48,20.42,5.62,00:04:54,00:48:35,00:14:34,00:01:08,0.92,00:01:08,29709.12,848.83,12.26,38,0.55,73,0,0,0,73,1.05,0.0,0.0,0.0,1.05,0.43,0.07,0.04,0.61,0.07,
Claire Jeter,124,02/07/2023,01:09:14,Middle Blocker,105,285.06,4.12,557.53,2,3,77,23,0,1.52,84.49,34.18,157.33,9.05,4.84,00:02:17,00:57:02,00:09:09,00:00:42,0.69,00:00:42,38608.87,832.74,12.03,4,0.06,36,0,0,0,36,0.52,0.0,0.0,0.0,0.52,0.33,0.04,1.11,0.0,0.03,
Meadow Cooper,124,02/07/2023,01:09:14,Libero,65,346.78,5.01,159.25,10,16,37,1,1,0.94,139.83,57.35,142.87,6.73,5.12,00:03:54,00:49:46,00:15:07,00:00:24,0.83,00:00:24,11028.06,411.22,5.94,3,0.04,27,0,0,0,27,0.39,0.0,0.0,0.0,0.39,0.01,0.23,0.53,0.01,0.14,
Maddie Mclaughlin,124,02/07/2023,01:09:14,Outside Hitter,90,354.55,5.12,428.96,3,4,21,37,25,1.3,142.98,49.65,152.83,9.09,5.19,00:03:23,00:50:32,00:14:41,00:00:35,0.85,00:00:34,29705.61,827.24,11.95,0,0.0,36,0,0,0,36,0.52,0.0,0.0,0.0,0.52,0.53,0.06,0.3,0.36,0.04,
Jaden Ravnsborg,125,02/08/2023,01:04:27,Libero,56,299.31,4.64,167.02,7,19,27,3,0,0.87,119.06,33.71,145.23,1.31,4.58,00:02:21,00:47:43,00:14:10,00:00:10,0.77,00:00:10,10767.4,353.56,5.48,0,0.0,6,0,0,0,6,0.09,0.0,0.0,0.0,0.09,0.05,0.29,0.42,0.0,0.11,
Marta Levinska,125,02/08/2023,01:04:27,Outside Hitter,115,298.85,4.64,514.35,5,13,60,30,7,1.78,92.11,49.58,147.27,9.51,5.97,00:03:10,00:50:36,00:09:55,00:00:41,0.77,00:00:41,33158.45,911.86,14.14,0,0.0,42,0,0,0,42,0.65,0.0,0.0,0.0,0.65,0.47,0.2,0.93,0.11,0.08,
Shannon Shields,125,02/08/2023,01:04:27,Setter,225,415.59,6.45,781.45,5,150,64,6,0,3.49,191.88,70.27,151.25,2.18,5.04,00:05:34,00:38:23,00:20:19,00:00:09,1.07,00:00:09,50377.57,1385.38,21.49,0,0.0,11,0,0,0,11,0.17,0.0,0.0,0.0,0.17,0.09,2.33,0.99,0.0,0.08,
Olivia Johnson,125,02/08/2023,01:04:27,Middle Blocker,116,348.86,5.41,426.07,0,21,76,15,4,1.8,132.74,49.95,155.29,10.53,6.02,00:03:34,00:45:29,00:14:35,00:00:45,0.9,00:00:45,27467.15,888.64,13.78,2,0.03,37,0,0,0,37,0.57,0.0,0.0,0.0,0.57,0.23,0.33,1.18,0.06,0.0,
Geli Cyr,125,02/08/2023,01:04:27,Outside Hitter,85,338.89,5.26,406.79,2,7,27,25,24,1.32,129.64,41.52,152.71,13.97,6.02,00:02:36,00:46:51,00:13:58,00:00:55,0.88,00:00:58,26224.11,779.64,12.09,0,0.0,61,0,0,0,61,0.95,0.0,0.0,0.0,0.95,0.39,0.11,0.42,0.37,0.03,
Roberta Rabelo,125,02/08/2023,01:04:24,Outside Hitter,87,410.01,6.37,488.51,3,4,10,25,45,1.35,139.45,107.69,133.38,26.46,6.52,00:06:47,00:42:15,00:13:52,00:01:21,1.06,00:01:29,31460.82,898.88,13.96,37,0.57,73,0,0,0,73,1.13,0.0,0.0,0.0,1.13,0.39,0.06,0.16,0.7,0.05,
Claire Jeter,125,02/08/2023,01:04:27,Middle Blocker,171,309.18,4.8,934.37,1,47,91,25,7,2.65,95.31,52.77,143.7,17.35,5.61,00:03:27,00:50:28,00:09:18,00:01:11,0.8,00:01:10,60235.64,1299.2,20.15,2,0.03,60,0,0,0,60,0.93,0.0,0.0,0.0,0.93,0.39,0.73,1.41,0.11,0.02,
Meadow Cooper,125,02/08/2023,01:01:19,Libero,80,365.08,5.95,238.3,12,19,40,9,0,1.3,133.45,71.11,133.86,26.09,5.97,00:04:33,00:41:47,00:14:14,00:01:11,0.99,00:01:12,14615.04,544.97,8.89,4,0.07,56,0,0,0,56,0.91,0.0,0.0,0.0,0.91,0.15,0.31,0.65,0.0,0.2,
Maddie Mclaughlin,125,02/08/2023,01:04:27,Outside Hitter,99,356.72,5.53,489.09,9,9,23,37,21,1.54,151.75,52.27,139.49,13.11,5.65,00:03:36,00:44:36,00:15:24,00:00:48,0.92,00:00:48,31529.88,878.05,13.62,1,0.02,44,0,0,0,44,0.68,0.0,0.0,0.0,0.68,0.57,0.14,0.36,0.33,0.14,
Jaden Ravnsborg,126,02/09/2023,00:49:18,Libero,39,216.18,4.38,129.52,13,15,11,0,0,0.79,93.51,17.23,104.51,0.94,4.59,00:01:16,00:37:16,00:10:38,00:00:05,0.73,00:00:05,6387.39,209.74,4.25,0,0.0,6,0,0,0,6,0.12,0.0,0.0,0.0,0.12,0.0,0.3,0.22,0.0,0.26,
Marta Levinska,126,02/09/2023,00:49:14,Outside Hitter,70,255.01,5.18,511.13,1,0,17,27,25,1.42,73.13,46.34,114.65,19.7,6.2,00:02:45,00:37:47,00:07:34,00:01:06,0.86,00:01:09,25165.33,692.05,14.06,4,0.08,68,0,0,0,68,1.38,0.0,0.0,0.0,1.38,0.55,0.0,0.35,0.51,0.02,
Shannon Shields,126,02/09/2023,00:49:18,Setter,33,257.28,5.22,153.97,0,20,12,1,0,0.67,121.51,17.93,116.77,1.08,5.16,00:01:22,00:33:53,00:13:56,00:00:04,0.87,00:00:04,7593.03,208.81,4.23,1,0.02,2,0,0,0,2,0.04,0.0,0.0,0.0,0.04,0.02,0.41,0.24,0.0,0.0,
Olivia Johnson,126,02/09/2023,00:49:18,Middle Blocker,67,235.44,4.77,313.11,1,10,54,2,0,1.36,84.45,30.23,115.75,5.01,5.05,00:02:09,00:37:17,00:09:27,00:00:23,0.8,00:00:23,15441.7,499.58,10.13,1,0.02,20,0,0,0,20,0.41,0.0,0.0,0.0,0.41,0.04,0.2,1.09,0.0,0.02,
Geli Cyr,126,02/09/2023,00:49:18,Outside Hitter,58,216.52,4.39,364.88,0,5,15,23,15,1.18,71.95,21.1,114.7,8.77,5.39,00:01:22,00:39:20,00:07:55,00:00:37,0.73,00:00:36,17994.41,534.97,10.85,2,0.04,44,0,0,0,44,0.89,0.0,0.0,0.0,0.89,0.47,0.1,0.3,0.3,0.0,
Roberta Rabelo,126,02/09/2023,00:49:18,Outside Hitter,64,277.72,5.63,472.59,2,2,2,30,28,1.3,84.67,66.68,105.51,20.18,5.82,00:04:08,00:35:18,00:08:43,00:01:04,0.94,00:01:05,23306.32,665.89,13.5,6,0.12,62,0,0,0,62,1.26,0.0,0.0,0.0,1.26,0.61,0.04,0.04,0.57,0.04,
Claire Jeter,126,02/09/2023,00:49:18,Middle Blocker,76,195.41,3.96,596.96,0,3,45,28,0,1.54,52.4,25.94,108.85,8.21,4.78,00:01:38,00:41:28,00:05:32,00:00:37,0.66,00:00:36,29440.09,634.98,12.88,4,0.08,37,0,0,0,37,0.75,0.0,0.0,0.0,0.75,0.57,0.06,0.91,0.0,0.0,
Meadow Cooper,126,02/09/2023,00:49:18,Libero,31,219.52,4.45,102.04,4,13,14,0,0,0.63,85.35,30.2,101.72,2.25,4.91,00:02:06,00:37:47,00:09:14,00:00:08,0.74,00:00:08,5032.03,187.63,3.8,0,0.0,10,0,0,0,10,0.2,0.0,0.0,0.0,0.2,0.0,0.26,0.28,0.0,0.08,
Maddie Mclaughlin,126,02/09/2023,00:49:18,Outside Hitter,72,263.4,5.34,470.61,3,4,21,31,13,1.46,107.09,42.39,105.65,8.27,5.29,00:02:50,00:34:51,00:11:03,00:00:31,0.89,00:00:31,23208.98,646.33,13.11,4,0.08,33,0,0,0,33,0.67,0.0,0.0,0.0,0.67,0.63,0.08,0.43,0.26,0.06,
Jaden Ravnsborg,127,02/13/2023,01:05:30,Libero,61,292.49,4.46,191.48,61,0,0,0,0,0.93,51.36,7.32,233.8,0.0,4.71,00:00:38,01:01:05,00:03:44,00:00:00,0.74,00:00:22,12545.05,411.93,6.29,0,0.0,18,0,0,18,0,0.27,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.93,
Marta Levinska,127,02/13/2023,01:05:30,Outside Hitter,76,268.19,4.09,303.63,59,9,8,0,0,1.16,48.14,13.57,204.44,2.04,6.09,00:00:56,01:00:59,00:03:25,00:00:08,0.68,00:00:42,19892.99,547.06,8.35,1,0.02,43,11,7,25,0,0.66,0.17,0.11,0.38,0.0,0.0,0.14,0.12,0.0,0.9,
Shannon Shields,127,02/13/2023,01:05:30,Setter,163,368.45,5.62,540.62,162,1,0,0,0,2.49,86.84,7.03,274.45,0.14,5.41,00:00:31,00:58:16,00:06:40,00:00:00,0.94,00:00:09,35419.63,974.04,14.87,3,0.05,10,1,5,4,0,0.15,0.02,0.08,0.06,0.0,0.0,0.02,0.0,0.0,2.47,
Olivia Johnson,127,02/13/2023,01:05:30,Middle Blocker,57,311.0,4.75,226.07,33,17,7,0,0,0.87,63.4,13.8,231.82,1.98,6.08,00:00:55,01:00:08,00:04:18,00:00:07,0.79,00:00:33,14811.15,479.18,7.31,3,0.05,27,9,3,15,0,0.41,0.14,0.05,0.23,0.0,0.0,0.26,0.11,0.0,0.5,
Geli Cyr,127,02/13/2023,01:05:28,Outside Hitter,78,299.46,4.57,373.55,23,33,20,2,0,1.19,63.38,16.48,217.63,1.96,5.67,00:01:03,01:00:04,00:04:13,00:00:06,0.76,00:00:39,24455.71,727.06,11.11,1,0.02,35,8,2,25,0,0.53,0.12,0.03,0.38,0.0,0.03,0.5,0.31,0.0,0.35,
Claire Jeter,127,02/13/2023,01:05:30,Middle Blocker,96,250.28,3.82,544.74,74,16,6,0,0,1.47,42.18,19.1,188.83,0.17,5.26,00:01:18,01:01:19,00:02:49,00:00:00,0.64,00:00:47,35689.64,769.78,11.75,0,0.0,39,0,6,33,0,0.6,0.0,0.09,0.5,0.0,0.0,0.24,0.09,0.0,1.13,
Meadow Cooper,127,02/13/2023,01:05:30,Libero,62,306.01,4.67,172.35,62,0,0,0,0,0.95,72.08,17.07,216.73,0.13,5.06,00:01:00,00:59:28,00:04:59,00:00:00,0.78,00:00:36,11292.05,421.06,6.43,1,0.02,41,0,6,35,0,0.63,0.0,0.09,0.53,0.0,0.0,0.0,0.0,0.0,0.95,
Maddie Mclaughlin,127,02/13/2023,01:05:30,Outside Hitter,85,321.47,4.91,415.53,39,30,14,2,0,1.3,66.33,17.64,236.29,1.21,5.43,00:01:05,00:59:35,00:04:43,00:00:03,0.82,00:00:43,27224.25,758.14,11.57,2,0.03,37,4,1,32,0,0.56,0.06,0.02,0.49,0.0,0.03,0.46,0.21,0.0,0.6,
Jaden Ravnsborg,128,02/14/2023,01:00:30,Libero,38,285.66,4.72,118.66,38,0,0,0,0,0.63,40.64,3.54,241.19,0.3,5.22,00:00:19,00:56:53,00:03:14,00:00:00,0.79,00:00:11,7178.86,235.72,3.9,1,0.02,7,0,0,7,0,0.12,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.63,
Marta Levinska,128,02/14/2023,01:01:12,Outside Hitter,79,311.37,5.09,397.95,46,24,9,0,0,1.29,51.26,27.78,218.2,14.13,7.77,00:01:22,00:56:01,00:03:03,00:00:46,0.85,00:01:31,24355.27,669.77,10.94,14,0.23,76,32,5,18,21,1.24,0.52,0.08,0.29,0.34,0.0,0.39,0.15,0.0,0.75,
Shannon Shields,128,02/14/2023,01:00:31,Setter,146,389.38,6.43,559.31,140,6,0,0,0,2.41,86.37,7.54,295.47,0.0,4.98,00:00:31,00:53:24,00:06:33,00:00:00,1.07,00:00:11,33851.79,930.92,15.38,5,0.08,10,0,2,8,0,0.17,0.0,0.03,0.13,0.0,0.0,0.1,0.0,0.0,2.31,
Olivia Johnson,128,02/14/2023,01:00:33,Middle Blocker,70,326.87,5.4,296.43,55,7,8,0,0,1.16,60.55,13.42,250.74,2.15,5.85,00:00:57,00:55:14,00:04:12,00:00:07,0.9,00:00:38,17952.82,580.83,9.59,2,0.03,29,9,1,19,0,0.48,0.15,0.02,0.31,0.0,0.0,0.12,0.13,0.0,0.91,
Geli Cyr,128,02/14/2023,01:00:29,Outside Hitter,75,301.03,4.98,398.92,25,19,29,2,0,1.24,42.66,16.57,241.39,0.42,5.3,00:01:05,00:56:25,00:02:54,00:00:01,0.83,00:00:42,24132.55,717.45,11.86,0,0.0,45,1,5,39,0,0.74,0.02,0.08,0.64,0.0,0.03,0.31,0.48,0.0,0.41,
Roberta Rabelo,128,02/14/2023,01:00:42,Outside Hitter,87,355.74,5.86,480.71,19,38,29,1,0,1.43,105.14,20.93,223.57,6.09,6.76,00:01:10,00:52:02,00:07:06,00:00:20,0.98,00:01:10,29180.36,833.72,13.73,5,0.08,66,20,1,42,3,1.09,0.33,0.02,0.69,0.05,0.02,0.63,0.48,0.0,0.31,
Claire Jeter,128,02/14/2023,01:00:50,Middle Blocker,98,254.42,4.18,582.46,75,19,4,0,0,1.61,34.69,16.59,203.15,0.0,4.95,00:01:13,00:57:12,00:02:22,00:00:00,0.7,00:00:41,35433.89,764.26,12.56,1,0.02,37,0,5,32,0,0.61,0.0,0.08,0.53,0.0,0.0,0.31,0.07,0.0,1.23,
Meadow Cooper,128,02/14/2023,01:00:34,Libero,35,308.91,5.1,99.29,35,0,0,0,0,0.58,68.6,8.32,231.87,0.12,5.2,00:00:30,00:55:06,00:04:55,00:00:00,0.85,00:00:18,6014.15,224.26,3.7,1,0.02,22,0,2,20,0,0.36,0.0,0.03,0.33,0.0,0.0,0.0,0.0,0.0,0.58,
Maddie Mclaughlin,128,02/14/2023,01:01:04,Outside Hitter,71,327.58,5.36,384.97,22,32,17,0,0,1.16,71.67,17.19,238.02,0.69,7.36,00:01:02,00:54:46,00:05:10,00:00:02,0.89,00:00:38,23510.51,654.72,10.72,3,0.05,37,2,7,28,0,0.61,0.03,0.11,0.46,0.0,0.0,0.52,0.28,0.0,0.36,
Jaden Ravnsborg,129,02/15/2023,01:04:55,Libero,51,282.62,4.35,159.22,50,1,0,0,0,0.79,41.06,4.7,236.86,0.0,4.61,00:00:26,01:01:15,00:03:11,00:00:00,0.73,00:00:14,10338.78,339.48,5.23,0,0.0,6,0,0,6,0,0.09,0.0,0.0,0.09,0.0,0.0,0.02,0.0,0.0,0.77,
Marta Levinska,129,02/15/2023,01:04:55,Outside Hitter,88,294.46,4.53,423.26,46,30,12,0,0,1.36,43.45,26.75,220.45,3.8,6.58,00:01:31,01:00:22,00:02:47,00:00:12,0.76,00:01:11,27483.75,755.8,11.64,0,0.0,73,11,5,56,1,1.12,0.17,0.08,0.86,0.02,0.0,0.46,0.18,0.0,0.71,
Geli Cyr,129,02/15/2023,01:04:55,Outside Hitter,84,290.9,4.48,380.47,43,28,9,4,0,1.29,40.53,14.94,234.29,1.14,5.78,00:01:01,01:00:57,00:02:51,00:00:03,0.75,00:00:42,24705.16,734.48,11.31,1,0.02,43,6,6,31,0,0.66,0.09,0.09,0.48,0.0,0.06,0.43,0.14,0.0,0.66,
Roberta Rabelo,129,02/15/2023,01:04:55,Outside Hitter,78,343.5,5.29,372.28,22,41,15,0,0,1.2,93.62,17.26,229.22,3.4,6.89,00:01:01,00:57:07,00:06:33,00:00:11,0.88,00:00:52,24173.4,690.67,10.64,1,0.02,54,10,1,39,4,0.83,0.15,0.02,0.6,0.06,0.0,0.63,0.23,0.0,0.34,
Claire Jeter,129,02/15/2023,01:04:55,Middle Blocker,85,254.67,3.92,513.47,51,25,9,0,0,1.31,34.45,20.96,197.5,1.75,5.93,00:01:16,01:01:07,00:02:22,00:00:06,0.65,00:00:57,33341.57,719.13,11.07,0,0.0,39,7,1,31,0,0.6,0.11,0.02,0.48,0.0,0.0,0.39,0.14,0.0,0.79,
Meadow Cooper,129,02/15/2023,01:04:55,Libero,47,292.86,4.51,134.51,46,0,0,1,0,0.72,51.15,10.18,231.5,0.03,5.06,00:00:40,01:00:23,00:03:49,00:00:00,0.75,00:00:22,8734.31,325.69,5.02,1,0.02,31,0,6,25,0,0.48,0.0,0.09,0.39,0.0,0.02,0.0,0.0,0.0,0.71,
Maddie Mclaughlin,129,02/15/2023,01:04:55,Outside Hitter,83,328.86,5.06,396.27,42,35,6,0,0,1.28,66.12,15.92,246.67,0.15,5.12,00:01:03,00:58:52,00:04:57,00:00:00,0.84,00:00:32,25731.35,716.57,11.04,0,0.0,32,0,7,25,0,0.49,0.0,0.11,0.39,0.0,0.0,0.54,0.09,0.0,0.65,
Jaden Ravnsborg,131,02/17/2023,00:59:47,Libero,11,288.62,4.83,32.17,6,0,4,1,0,0.18,39.42,0.78,248.43,0.0,4.37,00:00:02,00:56:34,00:03:08,00:00:00,0.8,00:00:00,1924.03,63.18,1.06,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.07,0.0,0.1,
Marta Levinska,131,02/17/2023,00:59:33,Outside Hitter,70,321.32,5.39,421.15,4,3,6,33,24,1.18,61.06,28.02,226.59,5.65,7.1,00:01:31,00:53:41,00:04:03,00:00:15,0.9,00:01:07,25086.36,689.87,11.58,8,0.13,61,14,5,41,1,1.02,0.24,0.08,0.69,0.02,0.55,0.05,0.1,0.4,0.07,
Shannon Shields,131,02/17/2023,00:59:25,Setter,147,389.1,6.55,550.59,11,92,31,13,0,2.47,93.22,8.81,286.43,0.63,5.88,00:00:34,00:51:50,00:06:57,00:00:02,1.09,00:00:17,32723.48,899.9,15.14,5,0.08,16,3,2,11,0,0.27,0.05,0.03,0.19,0.0,0.22,1.55,0.52,0.0,0.19,
Olivia Johnson,131,02/17/2023,00:58:58,Middle Blocker,81,263.71,4.47,373.6,2,9,30,39,1,1.37,57.8,21.97,182.13,1.81,5.81,00:01:16,00:53:45,00:03:48,00:00:06,0.74,00:00:57,22036.23,712.94,12.09,0,0.0,52,6,6,40,0,0.88,0.1,0.1,0.68,0.0,0.66,0.15,0.51,0.02,0.03,
Geli Cyr,131,02/17/2023,00:59:50,Outside Hitter,54,287.18,4.8,296.51,3,4,9,17,21,0.9,43.13,13.09,228.19,2.77,6.48,00:00:46,00:55:55,00:02:56,00:00:10,0.8,00:00:42,17746.18,527.59,8.82,1,0.02,44,14,2,27,1,0.74,0.23,0.03,0.45,0.02,0.28,0.07,0.15,0.35,0.05,
Roberta Rabelo,131,02/17/2023,00:58:21,Outside Hitter,70,388.66,6.66,425.9,7,5,5,18,35,1.2,100.76,42.8,235.22,9.89,6.62,00:02:01,00:49:30,00:06:41,00:00:29,1.11,00:01:33,24854.48,710.13,12.17,7,0.12,73,30,14,27,2,1.25,0.51,0.24,0.46,0.03,0.31,0.09,0.09,0.6,0.12,
Claire Jeter,131,02/17/2023,00:59:15,Middle Blocker,84,211.94,3.58,577.63,3,9,23,45,4,1.42,34.97,21.11,155.64,0.22,5.24,00:01:19,00:55:31,00:02:21,00:00:00,0.6,00:00:47,34234.32,738.39,12.46,1,0.02,51,0,15,36,0,0.86,0.0,0.25,0.61,0.0,0.76,0.15,0.39,0.07,0.05,
Meadow Cooper,131,02/17/2023,00:59:17,Libero,9,288.28,4.86,26.71,2,1,6,0,0,0.15,53.51,3.28,231.49,0.0,4.79,00:00:11,00:55:12,00:03:51,00:00:00,0.81,00:00:06,1584.1,59.07,1.0,1,0.02,8,0,2,6,0,0.13,0.0,0.03,0.1,0.0,0.0,0.02,0.1,0.0,0.03,
Maddie Mclaughlin,131,02/17/2023,00:59:32,Outside Hitter,63,319.7,5.37,341.66,1,6,14,35,7,1.06,68.54,16.57,234.37,0.22,5.37,00:00:57,00:53:37,00:04:54,00:00:00,0.89,00:00:34,20345.64,566.59,9.51,2,0.03,32,1,7,24,0,0.54,0.02,0.12,0.4,0.0,0.59,0.1,0.24,0.12,0.02,
Jaden Ravnsborg,132,02/20/2023,01:59:12,Libero,54,493.91,4.14,83.5,17,9,27,1,0,0.45,62.49,4.21,416.75,10.46,8.23,00:00:20,01:53:35,00:04:59,00:00:15,0.69,00:00:25,9954.99,326.88,2.74,1,0.01,4,0,0,3,1,0.03,0.0,0.0,0.03,0.01,0.01,0.08,0.23,0.0,0.14,
Marta Levinska,132,02/20/2023,01:59:12,Outside Hitter,127,501.54,4.21,320.39,15,14,42,34,22,1.07,65.65,27.1,403.44,5.35,5.88,00:01:39,01:52:13,00:04:55,00:00:21,0.7,00:01:24,38195.8,1050.38,8.81,2,0.02,75,29,3,43,0,0.63,0.24,0.03,0.36,0.0,0.29,0.12,0.35,0.18,0.13,
Shannon Shields,132,02/20/2023,01:59:12,Setter,244,616.09,5.17,448.59,12,164,61,7,0,2.05,125.81,12.3,477.24,0.74,7.56,00:00:53,01:48:41,00:09:33,00:00:01,0.86,00:00:19,53479.02,1470.67,12.34,8,0.07,15,0,0,14,1,0.13,0.0,0.0,0.12,0.01,0.06,1.38,0.51,0.0,0.1,
Olivia Johnson,132,02/20/2023,01:59:12,Middle Blocker,121,455.05,3.82,260.87,0,14,61,44,2,1.01,67.53,36.86,348.56,2.09,5.83,00:02:08,01:52:19,00:04:35,00:00:07,0.64,00:01:20,31100.39,1006.19,8.44,7,0.06,76,7,23,46,0,0.64,0.06,0.19,0.39,0.0,0.37,0.12,0.51,0.02,0.0,
Geli Cyr,132,02/20/2023,01:59:12,Outside Hitter,123,567.02,4.76,372.5,1,3,8,56,55,1.03,76.82,33.84,451.09,5.27,6.12,00:01:58,01:51:39,00:05:14,00:00:18,0.79,00:01:36,44408.56,1320.25,11.07,11,0.09,97,19,6,72,0,0.81,0.16,0.05,0.6,0.0,0.47,0.03,0.07,0.46,0.01,
Roberta Rabelo,132,02/20/2023,01:59:12,Outside Hitter,123,571.74,4.8,362.35,2,5,17,57,42,1.03,109.94,33.48,417.61,10.7,6.78,00:01:49,01:48:56,00:07:49,00:00:35,0.8,00:01:47,43198.36,1234.24,10.35,9,0.08,103,37,9,52,5,0.86,0.31,0.08,0.44,0.04,0.48,0.04,0.14,0.35,0.02,
Claire Jeter,132,02/20/2023,01:59:12,Middle Blocker,161,381.49,3.2,493.28,3,33,72,53,0,1.35,50.65,27.19,303.57,0.08,5.11,00:02:02,01:53:39,00:03:28,00:00:00,0.53,00:00:53,58806.58,1268.38,10.64,0,0.0,48,0,13,35,0,0.4,0.0,0.11,0.29,0.0,0.44,0.28,0.6,0.0,0.03,
