Name,Session ID,Session begin date (UTC),Time (hh:mm:ss),Position,Jumps,Total Workload,High Intensity Effort/Min,Jump Load / min (J),Jumps (very low),Jumps (low),Jumps (medium),Jumps (high),Jumps (very high),Jumps / min,Acceleration Load (load | medium),Acceleration Load (load | high),Acceleration Load (load | low),Acceleration Load (load | very high),Acceleration Load (max.),Acceleration Load (time | high) (hh:mm:ss),Acceleration Load (time | low) (hh:mm:ss),Acceleration Load (time | medium) (hh:mm:ss),Acceleration Load (time | very high) (hh:mm:ss),Acceleration Load / min,Anaerobic Activity (time) (hh:mm:ss),Jump Load (J),Jump Load per mass (J/kg),Jump Load per mass / min (J/kg),Changes of Orientation,Changes of Orientation / min,Exertions,Exertions (high),Exertions (low),Exertions (medium),Exertions (very high),Exertions / min,Exertions / min (high),Exertions / min (low),Exertions / min (medium),Exertions / min (very high),Jumps / min (high),Jumps / min (low),Jumps / min (medium),Jumps / min (very high),Jumps / min (very low),Duration (hh:mm:ss)
Meadow Cooper,132,02/20/2023,01:59:12,Libero,48,512.47,4.3,73.6,7,7,34,0,0,0.4,78.74,11.24,422.47,0.03,5.06,00:00:40,01:52:15,00:06:15,00:00:00,0.72,00:00:24,8774.08,327.17,2.74,1,0.01,29,0,4,25,0,0.24,0.0,0.03,0.21,0.0,0.0,0.06,0.29,0.0,0.06,
Maddie Mclaughlin,132,02/20/2023,01:59:12,Outside Hitter,129,589.2,4.94,351.06,7,7,32,69,14,1.08,110.31,31.24,445.99,1.66,5.63,00:01:52,01:49:03,00:08:09,00:00:05,0.82,00:01:08,41852.65,1165.52,9.78,3,0.03,64,5,3,56,0,0.54,0.04,0.03,0.47,0.0,0.58,0.06,0.27,0.12,0.06,
Jaden Ravnsborg,133,02/21/2023,01:24:27,Libero,66,369.69,4.38,158.65,4,12,50,0,0,0.78,55.51,6.52,307.66,0.0,4.57,00:00:38,01:19:23,00:04:24,00:00:00,0.73,00:00:21,13400.88,440.03,5.21,0,0.0,11,0,1,10,0,0.13,0.0,0.01,0.12,0.0,0.0,0.14,0.59,0.0,0.05,
Marta Levinska,133,02/21/2023,01:24:27,Outside Hitter,71,338.7,4.01,237.29,6,13,30,14,8,0.84,38.74,13.6,284.47,1.89,5.96,00:00:58,01:20:24,00:02:55,00:00:07,0.67,00:00:39,20042.77,551.18,6.53,1,0.01,40,8,8,24,0,0.47,0.09,0.09,0.28,0.0,0.17,0.15,0.36,0.09,0.07,
Shannon Shields,133,02/21/2023,01:22:28,Setter,177,454.83,5.52,441.17,12,131,33,1,0,2.15,99.74,7.26,347.69,0.15,5.27,00:00:31,01:14:18,00:07:37,00:00:00,0.92,00:00:10,36382.93,1000.53,12.13,3,0.04,6,0,1,5,0,0.07,0.0,0.01,0.06,0.0,0.01,1.59,0.4,0.0,0.15,
Olivia Johnson,133,02/21/2023,01:24:27,Middle Blocker,99,454.37,5.38,299.53,10,15,26,37,11,1.17,83.02,34.13,328.21,9.01,7.06,00:01:50,01:16:26,00:05:40,00:00:28,0.9,00:01:39,25300.28,818.54,9.69,21,0.25,82,26,9,44,3,0.97,0.31,0.11,0.52,0.04,0.44,0.18,0.31,0.13,0.12,
Geli Cyr,133,02/21/2023,01:24:27,Outside Hitter,80,366.01,4.33,279.71,2,8,30,30,10,0.95,49.21,17.03,296.76,3.0,6.19,00:01:06,01:19:50,00:03:18,00:00:10,0.72,00:00:54,23626.08,702.4,8.32,6,0.07,62,14,3,45,0,0.73,0.17,0.04,0.53,0.0,0.36,0.09,0.36,0.12,0.02,
Roberta Rabelo,133,02/21/2023,01:24:27,Outside Hitter,98,397.97,4.71,373.66,8,4,26,36,24,1.16,73.85,24.35,295.37,4.41,6.53,00:01:23,01:17:40,00:05:07,00:00:15,0.79,00:01:08,31561.86,901.77,10.68,8,0.09,67,13,7,45,2,0.79,0.15,0.08,0.53,0.02,0.43,0.05,0.31,0.28,0.09,
Claire Jeter,133,02/21/2023,01:22:18,Middle Blocker,123,318.98,3.88,571.06,2,15,58,46,2,1.49,48.43,25.87,244.33,0.35,5.15,00:01:46,01:17:13,00:03:15,00:00:01,0.64,00:01:01,47002.69,1013.78,12.32,2,0.02,56,0,8,48,0,0.68,0.0,0.1,0.58,0.0,0.56,0.18,0.7,0.02,0.02,
Meadow Cooper,133,02/21/2023,01:24:27,Libero,61,365.39,4.33,137.72,0,5,56,0,0,0.72,59.2,14.28,291.9,0.01,5.02,00:00:55,01:19:00,00:04:30,00:00:00,0.72,00:00:31,11632.33,433.75,5.14,0,0.0,37,0,5,32,0,0.44,0.0,0.06,0.38,0.0,0.0,0.06,0.66,0.0,0.0,
Maddie Mclaughlin,133,02/21/2023,01:24:27,Outside Hitter,84,418.45,4.95,288.99,5,11,40,26,2,0.99,75.37,13.32,329.18,0.59,5.29,00:00:53,01:17:50,00:05:40,00:00:01,0.83,00:00:24,24409.77,679.77,8.05,1,0.01,21,1,4,16,0,0.25,0.01,0.05,0.19,0.0,0.31,0.13,0.47,0.02,0.06,
Jaden Ravnsborg,134,02/22/2023,02:20:54,Libero,93,628.67,4.46,129.24,19,14,57,3,0,0.66,80.71,12.92,535.04,0.0,4.66,00:00:52,02:13:24,00:06:36,00:00:00,0.74,00:00:31,18211.85,598.0,4.24,0,0.0,13,0,3,10,0,0.09,0.0,0.02,0.07,0.0,0.02,0.1,0.4,0.0,0.13,
Marta Levinska,134,02/22/2023,02:20:54,Outside Hitter,171,719.04,5.1,410.64,4,7,49,75,36,1.21,125.31,75.89,501.96,15.87,6.4,00:03:50,02:08:13,00:08:01,00:00:47,0.85,00:03:03,57865.77,1591.31,11.29,48,0.34,152,49,13,90,0,1.08,0.35,0.09,0.64,0.0,0.53,0.05,0.35,0.26,0.03,
Shannon Shields,134,02/22/2023,02:20:54,Setter,291,795.71,5.65,487.42,10,175,67,35,4,2.07,168.89,23.55,602.86,0.41,5.29,00:01:28,02:06:54,00:12:29,00:00:01,0.94,00:00:42,68684.87,1888.83,13.4,9,0.06,47,0,7,40,0,0.33,0.0,0.05,0.28,0.0,0.25,1.24,0.48,0.03,0.07,
Olivia Johnson,134,02/22/2023,02:20:54,Middle Blocker,188,567.71,4.03,303.77,3,51,96,37,1,1.33,90.68,43.23,431.44,2.37,6.16,00:02:38,02:12:01,00:06:05,00:00:07,0.67,00:01:23,42806.32,1384.91,9.83,0,0.0,76,9,18,49,0,0.54,0.06,0.13,0.35,0.0,0.26,0.36,0.68,0.01,0.02,
Geli Cyr,134,02/22/2023,02:20:54,Outside Hitter,156,670.4,4.76,330.63,6,22,41,58,29,1.11,98.14,32.6,533.87,5.78,6.13,00:01:59,02:11:38,00:06:54,00:00:20,0.79,00:01:42,46591.08,1385.14,9.83,10,0.07,112,25,5,82,0,0.79,0.18,0.04,0.58,0.0,0.41,0.16,0.29,0.21,0.04,
Roberta Rabelo,134,02/22/2023,02:20:54,Outside Hitter,145,712.46,5.06,337.12,5,15,29,52,44,1.03,143.52,41.57,515.87,11.49,7.18,00:02:11,02:07:55,00:10:12,00:00:33,0.84,00:01:53,47506.33,1357.32,9.63,11,0.08,109,25,9,66,9,0.77,0.18,0.06,0.47,0.06,0.37,0.11,0.21,0.31,0.04,
Claire Jeter,134,02/22/2023,02:20:54,Middle Blocker,224,483.15,3.43,582.2,0,46,113,64,1,1.59,77.27,48.35,357.27,0.26,5.27,00:03:06,02:12:41,00:05:04,00:00:00,0.57,00:01:31,82041.07,1769.51,12.56,0,0.0,86,1,29,56,0,0.61,0.01,0.21,0.4,0.0,0.45,0.33,0.8,0.01,0.0,
Meadow Cooper,134,02/22/2023,02:20:54,Libero,74,615.96,4.37,107.01,2,8,54,5,5,0.53,101.72,18.59,494.91,0.74,5.45,00:01:07,02:12:02,00:07:40,00:00:02,0.73,00:00:45,15079.05,562.27,3.99,1,0.01,53,4,3,46,0,0.38,0.03,0.02,0.33,0.0,0.04,0.06,0.38,0.04,0.01,
Maddie Mclaughlin,134,02/22/2023,02:20:54,Outside Hitter,159,712.53,5.06,359.35,6,9,41,93,10,1.13,135.33,36.65,539.7,0.86,5.38,00:02:14,02:08:39,00:09:55,00:00:02,0.84,00:01:15,50638.43,1410.18,10.01,6,0.04,76,2,10,64,0,0.54,0.01,0.07,0.45,0.0,0.66,0.06,0.29,0.07,0.04,
Jaden Ravnsborg,135,02/23/2023,01:54:55,Libero,81,493.4,4.29,138.04,11,16,53,1,0,0.7,75.77,8.29,409.34,0.0,4.77,00:00:42,01:48:18,00:05:52,00:00:00,0.72,00:00:25,15864.93,520.94,4.53,0,0.0,18,0,0,18,0,0.16,0.0,0.0,0.16,0.0,0.01,0.14,0.46,0.0,0.1,
Marta Levinska,135,02/23/2023,01:54:55,Outside Hitter,126,523.22,4.55,362.58,7,3,42,57,17,1.1,83.85,44.78,385.85,8.74,6.35,00:02:25,01:46:32,00:05:29,00:00:26,0.76,00:01:49,41672.02,1145.98,9.97,13,0.11,99,28,7,64,0,0.86,0.24,0.06,0.56,0.0,0.5,0.03,0.37,0.15,0.06,
Shannon Shields,135,02/23/2023,01:54:55,Setter,233,631.45,5.49,491.15,11,112,81,23,6,2.03,135.38,18.27,477.26,0.54,5.85,00:01:14,01:43:45,00:09:52,00:00:01,0.92,00:00:31,56449.94,1552.37,13.51,8,0.07,30,2,6,22,0,0.26,0.02,0.05,0.19,0.0,0.2,0.97,0.7,0.05,0.1,
Olivia Johnson,135,02/23/2023,01:54:55,Middle Blocker,139,543.31,4.73,300.99,6,26,57,45,5,1.21,86.7,37.45,412.67,6.5,6.02,00:02:09,01:46:32,00:05:50,00:00:22,0.79,00:01:33,34594.17,1119.22,9.74,14,0.12,82,23,11,48,0,0.71,0.2,0.1,0.42,0.0,0.39,0.23,0.5,0.04,0.05,
Geli Cyr,135,02/23/2023,01:54:51,Outside Hitter,108,503.4,4.38,298.53,1,5,40,32,30,0.94,81.69,28.05,392.95,0.7,5.34,00:01:43,01:47:38,00:05:30,00:00:02,0.73,00:01:01,34287.17,1019.35,8.88,28,0.24,68,2,7,59,0,0.59,0.02,0.06,0.51,0.0,0.28,0.04,0.35,0.26,0.01,
Roberta Rabelo,135,02/23/2023,01:54:55,Outside Hitter,108,548.12,4.77,326.98,5,4,17,45,37,0.94,120.85,35.54,384.33,7.4,6.05,00:01:55,01:44:16,00:08:18,00:00:23,0.8,00:01:41,37581.2,1073.75,9.34,56,0.49,97,28,5,64,0,0.84,0.24,0.04,0.56,0.0,0.39,0.03,0.15,0.32,0.04,
Claire Jeter,135,02/23/2023,01:54:55,Middle Blocker,163,428.15,3.73,546.62,2,19,74,65,3,1.42,60.2,34.57,332.78,0.6,5.75,00:02:18,01:48:32,00:04:00,00:00:02,0.62,00:01:09,62825.33,1355.06,11.79,5,0.04,62,4,13,45,0,0.54,0.03,0.11,0.39,0.0,0.57,0.17,0.64,0.03,0.02,
Meadow Cooper,135,02/23/2023,01:54:55,Libero,76,475.35,4.14,136.89,0,3,64,4,5,0.66,76.58,20.31,377.29,1.17,5.67,00:01:14,01:47:48,00:05:47,00:00:03,0.69,00:00:50,15732.76,586.65,5.1,0,0.0,58,3,4,51,0,0.5,0.03,0.03,0.44,0.0,0.03,0.03,0.56,0.04,0.0,
Maddie Mclaughlin,135,02/23/2023,01:54:55,Outside Hitter,111,543.53,4.73,298.33,5,13,30,56,7,0.97,92.68,20.38,428.82,1.64,5.55,00:01:17,01:46:35,00:06:54,00:00:05,0.79,00:00:46,34288.15,954.86,8.31,3,0.03,42,4,4,34,0,0.37,0.03,0.03,0.3,0.0,0.49,0.11,0.26,0.06,0.04,
Jaden Ravnsborg,136,02/24/2023,02:00:38,Libero,58,545.34,4.52,90.21,13,15,27,3,0,0.48,65.48,5.2,474.65,0.0,4.53,00:00:25,01:54:59,00:05:10,00:00:00,0.75,00:00:12,10881.94,357.32,2.96,0,0.0,1,0,0,1,0,0.01,0.0,0.0,0.01,0.0,0.02,0.12,0.22,0.0,0.11,
Marta Levinska,136,02/24/2023,02:00:41,Outside Hitter,164,570.79,4.73,428.75,15,7,49,76,17,1.36,96.18,38.13,431.58,4.9,5.89,00:02:26,01:51:16,00:06:38,00:00:19,0.79,00:01:52,51749.59,1423.11,11.79,6,0.05,119,22,10,87,0,0.99,0.18,0.08,0.72,0.0,0.63,0.06,0.41,0.14,0.12,
Geli Cyr,136,02/24/2023,02:00:11,Outside Hitter,139,594.32,4.94,384.62,7,4,20,57,51,1.16,96.71,34.02,460.76,2.82,6.6,00:02:07,01:51:41,00:06:40,00:00:10,0.82,00:01:32,46230.63,1374.42,11.43,10,0.08,103,9,9,83,2,0.86,0.07,0.07,0.69,0.02,0.47,0.03,0.17,0.42,0.06,
Roberta Rabelo,136,02/24/2023,02:00:31,Outside Hitter,143,638.3,5.3,403.12,8,17,11,49,58,1.19,123.23,37.31,462.43,15.33,6.81,00:02:00,01:49:03,00:08:36,00:00:48,0.88,00:02:09,48583.31,1388.09,11.52,22,0.18,114,43,2,60,9,0.95,0.36,0.02,0.5,0.07,0.41,0.14,0.09,0.48,0.07,
Claire Jeter,136,02/24/2023,02:00:41,Middle Blocker,189,441.65,3.66,606.86,1,20,87,81,0,1.57,70.57,41.92,329.1,0.06,5.12,00:02:45,01:53:12,00:04:41,00:00:00,0.61,00:01:21,73247.9,1579.86,13.09,1,0.01,77,0,27,50,0,0.64,0.0,0.22,0.41,0.0,0.67,0.17,0.72,0.0,0.01,
Meadow Cooper,136,02/24/2023,02:00:41,Libero,47,527.89,4.37,73.79,6,5,31,1,4,0.39,77.34,9.91,439.61,1.02,5.86,00:00:36,01:53:57,00:06:02,00:00:03,0.73,00:00:24,8906.41,332.1,2.75,0,0.0,27,4,1,22,0,0.22,0.03,0.01,0.18,0.0,0.01,0.04,0.26,0.03,0.05,
Jaden Ravnsborg,138,02/27/2023,02:01:40,Libero,110,577.14,4.74,167.62,16,47,38,9,0,0.9,100.29,9.54,467.3,0.0,4.63,00:00:45,01:53:09,00:07:44,00:00:00,0.79,00:00:23,20396.71,669.74,5.5,0,0.0,23,0,1,22,0,0.19,0.0,0.01,0.18,0.0,0.07,0.39,0.31,0.0,0.13,
Marta Levinska,138,02/27/2023,02:01:40,Outside Hitter,192,659.04,5.42,493.78,6,11,83,85,7,1.58,127.48,78.97,431.06,21.53,7.25,00:03:59,01:48:28,00:07:56,00:01:14,0.9,00:03:35,60084.45,1652.32,13.58,75,0.62,184,63,10,88,23,1.51,0.52,0.08,0.72,0.19,0.7,0.09,0.68,0.06,0.05,
Olivia Johnson,138,02/27/2023,02:01:40,Middle Blocker,179,576.32,4.74,329.68,3,53,98,25,0,1.47,116.56,37.37,421.97,0.42,5.87,00:02:26,01:51:16,00:07:54,00:00:01,0.79,00:01:20,40116.6,1297.89,10.67,14,0.12,76,1,11,64,0,0.62,0.01,0.09,0.53,0.0,0.21,0.44,0.81,0.0,0.02,
Geli Cyr,138,02/27/2023,02:01:40,Outside Hitter,162,629.12,5.17,432.21,3,7,42,69,41,1.33,107.13,36.31,482.77,2.91,5.67,00:02:16,01:51:45,00:07:26,00:00:10,0.86,00:01:31,52592.84,1563.57,12.85,19,0.16,105,12,18,75,0,0.86,0.1,0.15,0.62,0.0,0.57,0.06,0.35,0.34,0.02,
Roberta Rabelo,138,02/27/2023,02:01:40,Outside Hitter,189,639.81,5.26,510.28,4,10,53,84,38,1.55,142.65,43.25,447.26,6.65,6.58,00:02:35,01:48:51,00:09:48,00:00:24,0.88,00:01:54,62092.75,1774.08,14.58,15,0.12,115,30,11,72,2,0.95,0.25,0.09,0.59,0.02,0.69,0.08,0.44,0.31,0.03,
Claire Jeter,138,02/27/2023,02:01:40,Middle Blocker,207,494.77,4.07,621.97,2,32,114,59,0,1.7,82.12,45.92,366.48,0.24,5.3,00:03:01,01:53:10,00:05:26,00:00:01,0.68,00:01:42,75683.47,1632.39,13.42,12,0.1,97,0,22,75,0,0.8,0.0,0.18,0.62,0.0,0.48,0.26,0.94,0.0,0.02,
Meadow Cooper,138,02/27/2023,02:01:40,Libero,79,580.37,4.77,126.84,8,12,48,3,8,0.65,117.86,20.25,440.4,1.87,5.94,00:01:12,01:51:52,00:08:28,00:00:05,0.79,00:00:49,15433.8,575.5,4.73,2,0.02,54,6,12,36,0,0.44,0.05,0.1,0.3,0.0,0.02,0.1,0.39,0.07,0.07,
Maddie Mclaughlin,138,02/27/2023,02:01:40,Outside Hitter,186,675.17,5.55,488.81,6,13,59,86,22,1.53,168.67,38.79,466.7,1.01,5.22,00:02:23,01:46:45,00:12:26,00:00:03,0.92,00:01:20,59480.11,1656.41,13.61,20,0.16,76,0,4,72,0,0.62,0.0,0.03,0.59,0.0,0.71,0.11,0.48,0.18,0.05,
Jaden Ravnsborg,139,02/28/2023,02:14:06,Libero,78,542.41,4.04,114.79,7,23,47,1,0,0.58,80.23,8.06,454.12,0.0,4.67,00:00:43,02:07:12,00:06:09,00:00:00,0.67,00:00:23,15394.85,505.5,3.77,0,0.0,14,0,1,13,0,0.1,0.0,0.01,0.1,0.0,0.01,0.17,0.35,0.0,0.05,
Marta Levinska,139,02/28/2023,02:14:06,Outside Hitter,158,559.03,4.17,333.65,24,15,50,64,5,1.18,101.11,29.26,426.68,1.98,5.6,00:02:05,02:04:55,00:06:56,00:00:08,0.69,00:01:19,44747.87,1230.57,9.18,6,0.04,80,7,9,64,0,0.6,0.05,0.07,0.48,0.0,0.48,0.11,0.37,0.04,0.18,
Shannon Shields,139,02/28/2023,02:14:06,Setter,308,721.27,5.38,509.06,17,203,60,27,1,2.3,155.87,17.6,547.4,0.4,5.57,00:01:13,02:00:48,00:12:01,00:00:01,0.9,00:00:36,68273.98,1877.53,14.0,5,0.04,39,1,3,35,0,0.29,0.01,0.02,0.26,0.0,0.2,1.51,0.45,0.01,0.13,
Olivia Johnson,139,02/28/2023,02:14:06,Middle Blocker,170,615.7,4.59,306.46,4,46,61,55,4,1.27,122.71,36.98,454.34,1.67,5.6,00:02:24,02:03:14,00:08:20,00:00:05,0.77,00:01:25,41101.22,1329.75,9.91,1,0.01,84,7,8,69,0,0.63,0.05,0.06,0.51,0.0,0.41,0.34,0.45,0.03,0.03,
Geli Cyr,139,02/28/2023,02:14:06,Outside Hitter,143,560.4,4.18,320.52,5,9,56,43,30,1.07,86.73,29.55,441.16,2.96,5.8,00:01:58,02:05:57,00:05:59,00:00:09,0.7,00:01:27,42986.54,1277.98,9.53,7,0.05,103,10,5,88,0,0.77,0.07,0.04,0.66,0.0,0.32,0.07,0.42,0.22,0.04,
Roberta Rabelo,139,02/28/2023,02:14:06,Outside Hitter,146,629.43,4.69,360.79,4,14,25,66,37,1.09,140.0,42.36,442.56,4.51,6.0,00:02:24,02:01:48,00:09:38,00:00:13,0.78,00:01:42,48387.66,1382.5,10.31,43,0.32,105,12,10,83,0,0.78,0.09,0.07,0.62,0.0,0.49,0.1,0.19,0.28,0.03,
Claire Jeter,139,02/28/2023,02:14:06,Middle Blocker,176,465.73,3.47,443.98,1,47,94,34,0,1.31,61.64,28.76,375.16,0.17,5.07,00:02:00,02:07:39,00:04:24,00:00:00,0.58,00:01:04,59544.89,1284.3,9.58,3,0.02,55,0,12,43,0,0.41,0.0,0.09,0.32,0.0,0.25,0.35,0.7,0.0,0.01,
Meadow Cooper,139,02/28/2023,02:14:06,Libero,76,547.55,4.08,111.5,3,15,49,5,4,0.57,101.97,19.37,425.9,0.31,5.36,00:01:13,02:05:22,00:07:28,00:00:01,0.68,00:00:47,14953.65,557.59,4.16,0,0.0,56,1,3,52,0,0.42,0.01,0.02,0.39,0.0,0.04,0.11,0.37,0.03,0.02,
Maddie Mclaughlin,139,02/28/2023,02:14:06,Outside Hitter,173,646.24,4.82,400.05,7,16,72,62,16,1.29,134.72,35.58,474.47,1.47,5.55,00:02:11,02:02:20,00:09:28,00:00:04,0.8,00:01:16,53653.66,1494.15,11.14,7,0.05,68,4,6,58,0,0.51,0.03,0.04,0.43,0.0,0.46,0.12,0.54,0.12,0.05,
Claire Jeter,140,03/01/2023,02:09:15,Middle Blocker,146,415.61,3.22,412.57,2,17,89,37,1,1.13,53.84,29.04,332.47,0.26,5.4,00:01:55,02:03:31,00:03:45,00:00:01,0.54,00:01:00,53332.13,1150.3,8.9,0,0.0,51,2,9,40,0,0.39,0.02,0.07,0.31,0.0,0.29,0.13,0.69,0.01,0.02,02:09:38
Jaden Ravnsborg,140,03/01/2023,02:09:15,Libero,69,561.09,4.34,100.88,10,18,41,0,0,0.53,74.01,6.18,480.9,0.0,4.58,00:00:32,02:02:43,00:05:58,00:00:00,0.72,00:00:19,13040.67,428.2,3.31,0,0.0,13,0,3,10,0,0.1,0.0,0.02,0.08,0.0,0.0,0.14,0.32,0.0,0.08,02:09:38
Maddie Mclaughlin,140,03/01/2023,02:09:15,Outside Hitter,119,619.96,4.8,287.04,11,10,23,62,13,0.92,110.89,25.65,482.36,1.06,5.37,00:01:37,01:59:21,00:08:12,00:00:03,0.8,00:00:58,37104.46,1033.29,7.99,4,0.03,55,2,7,46,0,0.43,0.02,0.05,0.36,0.0,0.48,0.08,0.18,0.1,0.09,02:09:38
Marta Levinska,140,03/01/2023,02:07:43,Outside Hitter,114,607.36,4.76,274.54,8,6,51,37,12,0.89,92.05,45.04,453.78,16.48,9.63,00:02:18,01:58:46,00:06:02,00:00:55,0.79,00:02:22,35063.38,964.24,7.55,30,0.23,117,43,7,48,19,0.92,0.34,0.05,0.38,0.15,0.29,0.05,0.4,0.09,0.06,02:09:38
Meadow Cooper,140,03/01/2023,02:09:15,Libero,47,532.09,4.12,72.54,2,3,40,2,0,0.36,85.95,13.89,432.04,0.2,5.12,00:00:52,02:01:55,00:06:25,00:00:00,0.69,00:00:32,9377.23,349.66,2.7,2,0.02,39,0,7,32,0,0.3,0.0,0.05,0.25,0.0,0.02,0.02,0.31,0.0,0.02,02:09:38
Olivia Johnson,140,03/01/2023,02:09:15,Middle Blocker,117,495.9,3.84,214.2,5,29,46,36,1,0.91,73.4,27.64,392.92,1.94,5.66,00:01:41,02:02:04,00:05:20,00:00:07,0.64,00:01:11,27688.81,895.81,6.93,5,0.04,61,8,4,49,0,0.47,0.06,0.03,0.38,0.0,0.28,0.22,0.36,0.01,0.04,02:09:38
Roberta Rabelo,140,03/01/2023,02:09:15,Outside Hitter,132,669.78,5.18,351.76,9,11,12,52,48,1.02,171.43,49.19,441.85,7.31,5.93,00:02:41,01:54:50,00:11:20,00:00:21,0.86,00:02:02,45471.06,1299.17,10.05,65,0.5,112,17,5,90,0,0.87,0.13,0.04,0.7,0.0,0.4,0.09,0.09,0.37,0.07,02:09:38
Shannon Shields,140,03/01/2023,02:09:15,Setter,248,709.87,5.49,446.6,14,142,63,29,0,1.92,149.13,17.24,543.4,0.1,5.17,00:01:09,01:56:34,00:11:29,00:00:00,0.92,00:00:29,57730.71,1587.59,12.28,5,0.04,32,1,5,26,0,0.25,0.01,0.04,0.2,0.0,0.22,1.1,0.49,0.0,0.11,02:09:38
Claire Jeter,141,03/03/2023,02:15:34,Middle Blocker,228,512.45,3.78,611.43,3,33,136,56,0,1.68,84.61,52.26,375.38,0.2,5.3,00:03:20,02:06:37,00:05:33,00:00:01,0.63,00:01:43,82899.66,1788.03,13.19,2,0.01,94,1,19,74,0,0.69,0.01,0.14,0.55,0.0,0.41,0.24,1.0,0.0,0.02,02:16:03
Geli Cyr,141,03/03/2023,02:15:34,Outside Hitter,172,701.04,5.17,393.09,3,17,56,64,32,1.27,128.28,37.55,531.54,3.67,5.7,00:02:24,02:03:48,00:09:07,00:00:12,0.86,00:01:42,53295.91,1584.47,11.69,8,0.06,114,17,8,89,0,0.84,0.13,0.06,0.66,0.0,0.47,0.13,0.41,0.24,0.02,02:16:03
Jaden Ravnsborg,141,03/03/2023,02:15:34,Libero,87,649.67,4.79,118.12,9,39,39,0,0,0.64,100.22,7.28,542.18,0.0,4.7,00:00:36,02:07:05,00:07:51,00:00:00,0.8,00:00:18,16015.06,525.87,3.88,0,0.0,13,0,0,13,0,0.1,0.0,0.0,0.1,0.0,0.0,0.29,0.29,0.0,0.07,02:16:03
Maddie Mclaughlin,141,03/03/2023,02:15:34,Outside Hitter,181,780.83,5.76,420.7,5,13,65,83,15,1.33,185.94,41.36,552.25,1.28,5.43,00:02:35,01:59:33,00:13:18,00:00:04,0.96,00:01:29,57039.82,1588.45,11.72,8,0.06,83,6,12,65,0,0.61,0.04,0.09,0.48,0.0,0.61,0.1,0.48,0.11,0.04,02:16:03
Marta Levinska,141,03/03/2023,02:15:34,Outside Hitter,190,675.86,4.98,410.22,30,9,62,69,20,1.4,134.26,39.86,497.58,4.16,6.25,00:02:36,02:03:05,00:09:34,00:00:16,0.83,00:01:46,55619.62,1529.54,11.28,11,0.08,109,19,12,78,0,0.8,0.14,0.09,0.58,0.0,0.51,0.07,0.46,0.15,0.22,02:16:03
Meadow Cooper,141,03/03/2023,02:15:34,Libero,74,662.76,4.89,111.07,3,10,50,5,6,0.55,125.11,23.05,512.47,2.13,5.72,00:01:20,02:04:59,00:09:06,00:00:06,0.81,00:00:55,15059.45,561.54,4.14,0,0.0,62,9,12,41,0,0.46,0.07,0.09,0.3,0.0,0.04,0.07,0.37,0.04,0.02,02:16:03
Olivia Johnson,141,03/03/2023,02:15:34,Middle Blocker,160,580.47,4.28,286.24,2,34,74,49,1,1.18,91.97,44.27,440.76,3.46,5.86,00:02:34,02:06:25,00:06:21,00:00:11,0.71,00:01:44,38809.75,1255.61,9.26,11,0.08,95,10,10,75,0,0.7,0.07,0.07,0.55,0.0,0.36,0.25,0.55,0.01,0.01,02:16:03
Roberta Rabelo,141,03/03/2023,02:15:34,Outside Hitter,194,779.71,5.75,479.37,8,13,29,97,47,1.43,187.46,54.03,525.49,12.73,6.89,00:02:57,01:58:51,00:13:01,00:00:41,0.96,00:02:36,64993.91,1856.97,13.7,19,0.14,148,43,9,92,4,1.09,0.32,0.07,0.68,0.03,0.72,0.1,0.21,0.35,0.06,02:16:03
Shannon Shields,141,03/03/2023,02:15:34,Setter,297,804.36,5.93,508.36,12,184,62,37,2,2.19,190.83,22.56,590.16,0.82,5.28,00:01:28,01:59:45,00:14:15,00:00:03,0.99,00:00:48,68924.77,1895.43,13.98,11,0.08,51,0,7,44,0,0.38,0.0,0.05,0.32,0.0,0.27,1.36,0.46,0.01,0.09,02:16:03
